NUMERO FACTURA CLIENTE;CONCEPTO;CLIENTE;PROVINCIA;SECTOR;IMPORTE CLIENTE;FECHA FACTURA CLIENTE;PAGADA CLIENTE;PROVEEDOR;ZONA;TIPO;IMPORTE PROVEEDOR
1;DESARROLLO;CLIENTE-0004;MADRID;CONSTRUCCION; 1.200,00 € ;31/07/2019;SI;PROV-005;ZONA 2;INTERNO; 540,00 € 
2;PROYECTO;CLIENTE-0005;BARCELONA;METAL; 800,00 € ;02/06/2021;SI;PROV-003;ZONA 2;INTERNO; 360,00 € 
3;EQUIPOS;CLIENTE-0006;BARCELONA;BANCA; 750,00 € ;13/04/2020;SI;PROV-005;ZONA 2;INTERNO; 337,50 € 
4;PROGRAMA;CLIENTE-0007;BARCELONA;BANCA; 4.500,00 € ;19/03/2020;SI;PROV-005;ZONA 2;INTERNO; 2.025,00 € 
5;FORMACION;CLIENTE-0003;MADRID;CONSTRUCCION; 500,00 € ;16/11/2019;SI;PROV-003;ZONA 2;INTERNO; 225,00 € 
6;CONSULTORIA;CLIENTE-0004;MADRID;CONSTRUCCION; 750,00 € ;18/02/2019;SI;PROV-005;ZONA 2;INTERNO; 337,50 € 
7;DESARROLLO;CLIENTE-0005;BARCELONA;METAL; 950,00 € ;20/03/2019;SI;PROV-003;ZONA 2;INTERNO; 427,50 € 
8;PROYECTO;CLIENTE-0005;BARCELONA;METAL; 680,00 € ;23/07/2019;SI;PROV-005;ZONA 2;INTERNO; 306,00 € 
9;EQUIPOS;CLIENTE-0006;BARCELONA;BANCA; 950,00 € ;24/12/2021;SI;PROV-005;ZONA 2;INTERNO; 427,50 € 
10;PROGRAMA;CLIENTE-0007;BARCELONA;BANCA; 1.500,00 € ;29/04/2019;SI;PROV-003;ZONA 2;INTERNO; 675,00 € 
11;FORMACION;CLIENTE-0008;ALICANTE;METAL; 5.000,00 € ;07/08/2020;SI;PROV-001;ZONA 1;EXTERNO; 2.250,00 € 
12;CONSULTORIA;CLIENTE-0009;ALICANTE;CONSTRUCCION; 6.500,00 € ;15/03/2019;SI;PROV-002;ZONA 1;EXTERNO; 2.925,00 € 
13;DESARROLLO;CLIENTE-0010;MADRID;BANCA; 8.500,00 € ;09/06/2021;SI;PROV-001;ZONA 1;EXTERNO; 3.825,00 € 
14;PROYECTO;CLIENTE-0001;MADRID;METAL; 1.200,00 € ;02/03/2021;SI;PROV-005;ZONA 2;INTERNO; 540,00 € 
15;EQUIPOS;CLIENTE-0010;MADRID;BANCA; 300,00 € ;21/02/2019;NO;PROV-003;ZONA 2;INTERNO; 135,00 € 
16;CONSULTORIA;CLIENTE-0001;MADRID;METAL; 200,00 € ;12/02/2020;NO;PROV-005;ZONA 2;INTERNO; 90,00 € 
17;DESARROLLO;CLIENTE-0002;ALICANTE;CONSTRUCCION; 150,00 € ;29/05/2019;NO;PROV-005;ZONA 2;INTERNO; 67,50 € 
18;PROYECTO;CLIENTE-0003;MADRID;CONSTRUCCION; 120,00 € ;02/07/2019;NO;PROV-003;ZONA 2;INTERNO; 54,00 € 
19;EQUIPOS;CLIENTE-0004;MADRID;CONSTRUCCION; 300,00 € ;01/12/2019;NO;PROV-005;ZONA 2;INTERNO; 135,00 € 
20;PROGRAMA;CLIENTE-0005;BARCELONA;METAL; 350,00 € ;11/09/2021;NO;PROV-003;ZONA 2;INTERNO; 157,50 € 
21;FORMACION;CLIENTE-0006;BARCELONA;BANCA; 300,00 € ;02/10/2019;NO;PROV-005;ZONA 2;INTERNO; 135,00 € 
22;CONSULTORIA;CLIENTE-0007;BARCELONA;BANCA; 120,00 € ;05/04/2019;SI;PROV-005;ZONA 2;INTERNO; 54,00 € 
23;DESARROLLO;CLIENTE-0008;ALICANTE;METAL; 150,00 € ;02/11/2021;SI;PROV-003;ZONA 2;INTERNO; 67,50 € 
24;PROYECTO;CLIENTE-0009;ALICANTE;CONSTRUCCION; 1.200,00 € ;14/11/2020;SI;PROV-001;ZONA 1;EXTERNO; 540,00 € 
25;EQUIPOS;CLIENTE-0010;MADRID;BANCA; 800,00 € ;28/03/2019;SI;PROV-002;ZONA 1;EXTERNO; 360,00 € 
26;PROGRAMA;CLIENTE-0004;MADRID;CONSTRUCCION; 750,00 € ;10/04/2020;SI;PROV-001;ZONA 1;EXTERNO; 337,50 € 
27;PROYECTO;CLIENTE-0005;BARCELONA;METAL; 4.500,00 € ;03/06/2021;SI;PROV-004;ZONA 1;EXTERNO; 2.025,00 € 
28;EQUIPOS;CLIENTE-0005;BARCELONA;METAL; 500,00 € ;06/05/2021;SI;PROV-004;ZONA 1;EXTERNO; 150,00 € 
29;PROGRAMA;CLIENTE-0006;BARCELONA;BANCA; 750,00 € ;22/03/2020;SI;PROV-004;ZONA 1;EXTERNO; 225,00 € 
30;FORMACION;CLIENTE-0007;BARCELONA;BANCA; 950,00 € ;04/07/2021;SI;PROV-004;ZONA 1;EXTERNO; 285,00 € 
31;CONSULTORIA;CLIENTE-0008;ALICANTE;METAL; 680,00 € ;12/05/2021;SI;PROV-004;ZONA 1;EXTERNO; 204,00 € 
